Record_ID,Date,Region,Office,User_ID,Role,Tenure_Months,Project_ID,Industry,Asset_ID,Asset_Type,Pillar,Action,AI_Recommended,Network_Stable,Time_to_Find_Min,Duplicate_Upload_Flag,Tags_Quality_Score,Content_Age_Months,Outdated_Content_Flag,GDPR_Flag,Contribution_Points,Onboarding_Time_Weeks,Post_DKN_Flag
1,11/06/2023,North America,Austin,U0050,Manager,25,P048,Logistics,A0017,Training Material,Centralisation,tag_fix,0,1,,,58,0,0,0,4,,
2,31/03/2022,Asia,Tokyo,U0068,Junior Consultant,26,P048,Logistics,A0184,Code Snippet,Collaboration,view,0,1,20,,,0,0,0,1,,
3,14/05/2022,North America,Toronto,U0007,Consultant,22,P053,Renewable Energy,A0060,Best Practice,Collaboration,upload,0,1,,0,54,0,0,0,8,,
4,30/05/2024,North America,Austin,U0127,Knowledge Champion,14,P009,Smart Manufacturing,A0128,Framework,Collaboration,view,0,1,14,,,13,0,0,1,,
5,06/11/2022,North America,Toronto,U0061,Consultant,30,P021,Renewable Energy,A0082,Training Material,Collaboration,view,0,1,22,,,0,0,0,1,,
6,13/03/2024,Europe,Madrid,U0041,Junior Consultant,20,P016,Logistics,A0105,Template,Centralisation,upload,0,1,,0,69,8,0,0,8,,
7,28/05/2022,Asia,Tokyo,U0068,Junior Consultant,26,P040,Smart Manufacturing,A0022,Training Material,Personalisation,view,0,0,32,,,0,0,0,1,,
8,21/12/2022,Southeast Asia,Manila,U0060,Consultant,12,P009,Smart Manufacturing,A0107,Framework,Collaboration,view,0,1,20,,,11,0,0,1,,
9,06/09/2022,Europe,Copenhagen,U0076,Consultant,6,P019,Logistics,A0072,Training Material,Centralisation,view,0,1,25,,,0,0,0,1,,
10,22/05/2023,Europe,Berlin,U0048,Consultant,34,P016,Logistics,A0061,Framework,Collaboration,upload,0,1,,0,60,0,0,0,8,,
11,05/11/2024,Asia,Singapore,U0135,Junior Consultant,32,P015,Renewable Energy,A0167,Code Snippet,Collaboration,validate,0,0,,,85,31,1,0,5,,
12,19/04/2023,South America,São Paulo,U0115,Senior Consultant,6,P059,Logistics,A0096,Training Material,Centralisation,upload,1,0,,0,87,0,0,0,8,,
13,03/06/2022,Europe,Madrid,U0096,Consultant,16,P033,Logistics,A0046,Framework,Centralisation,view,0,1,23,,,0,0,0,1,,
14,05/08/2022,Asia,Jakarta,U0090,Junior Consultant,21,P014,Smart Manufacturing,A0010,Client Deliverable,Centralisation,view,0,1,21,,,0,0,0,1,,
15,21/02/2023,Asia,Singapore,U0003,Consultant,10,P053,Renewable Energy,A0084,Framework,Centralisation,view,1,1,13,,,0,0,0,1,,
16,06/03/2022,North America,Austin,U0127,Knowledge Champion,14,P036,Renewable Energy,A0124,Code Snippet,Centralisation,upload,0,1,,0,57,0,0,0,8,,
17,06/07/2022,North America,Toronto,U0042,Junior Consultant,25,P026,Smart Manufacturing,A0179,Training Material,Collaboration,view,0,1,19,,,0,0,0,1,,
